,Address,Bathrooms,Bedrooms,Home Size,Lat,Lon,Property Size,Year Built,Zestimate,Zipcode,count_zillow,latitude,longitude,review_count,stars,count_yelp,avg_review,avg_stars,lat,lon,count_school,enrollment,private_school,public_school,charter_school,total_school
1852,1920 E BELL RD,2.0,2.0,1344.0,33.64,-112.04,247145.0,2007.0,184481.0,85022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.64,-112.04,1.0,444.0,0.0,1.0,0.0,1.0
1853,1946 W KERRY LN,2.0,0.0,1335.0,33.66,-112.1,8739.0,1974.0,215357.0,85027,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1854,15046 N 27TH DR,1.0,0.0,1374.0,33.62,-112.12,5993.0,1971.0,175696.0,85053,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.62,-112.12,1.0,772.0,0.0,1.0,0.0,1.0
1855,3065 N 67TH AVE,0.0,0.0,4586.0,33.48,-112.2,2293.0,2014.0,383269.0,85033,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856,1418 E SUNNYSIDE DR,2.0,3.0,1218.0,33.59,-112.05,9516.0,1978.0,230009.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,3206 W MCKINLEY ST,1.0,0.0,891.0,33.46,-112.13,7863.0,1946.0,132000.0,85009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,4146 W COLTER ST,2.0,0.0,1512.0,33.52,-112.15,4809.0,1971.0,168493.0,85019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,40924 N CITRUS CANYON TR,2.33,0.0,1432.0,33.86,-112.11,6495.0,2003.0,240502.0,85086,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860,2150 W ALAMEDA RD,2.5,3.0,1380.0,33.71,-112.11,1319.0,2008.0,225928.0,85085,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1861,2401 W AUGUSTA AVE,2.0,0.0,1903.0,33.55,-112.11,17460.0,1945.0,236931.0,85021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1862,1449 E HIGHLAND AVE,2.33,2.0,879.0,33.51,-112.05,882.0,1983.0,138099.0,85014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1863,3230 W MESCAL ST,2.0,0.0,1260.0,33.59,-112.13,7036.0,1968.0,191113.0,85029,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.59,-112.13,1.0,658.0,0.0,1.0,0.0,1.0
1864,3947 W WONDERVIEW RD,1.0,0.0,1005.0,33.51,-112.14,4961.0,1972.0,81247.0,85019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.51,-112.14,1.0,2770.0,0.0,1.0,0.0,1.0
1865,1216 E ROSE LN,0.0,0.0,0.0,33.53,-112.06,2665.0,2003.0,582057.0,85014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.53,-112.06,2.0,1580.0,0.0,2.0,0.0,2.0
1866,1323 W INDIANOLA AVE,3.0,4.0,2394.0,33.49,-112.09,15685.0,1946.0,469270.0,85013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49,-112.09,1.0,440.0,0.0,1.0,0.0,1.0
1867,1521 W RED BIRD RD,3.0,0.0,2366.0,33.73,-112.09,9745.0,2012.0,448526.0,85085,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,4621 E JONES AVE,1.0,0.0,924.0,33.41,-111.98,1144.0,1972.0,75917.0,85040,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,1120 W ALTA VISTA RD,2.0,0.0,1584.0,33.39,-112.09,6732.0,2001.0,204531.0,85041,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,41252 N ERICSON LN,2.0,3.0,1631.0,33.86,-112.14,5174.0,2003.0,265293.0,85086,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1871,6810 S 39TH PL,3.0,3.0,2270.0,33.38,-112.0,6612.0,1999.0,340787.0,85042,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,1844 E ALTA VISTA RD,2.33,0.0,1748.0,33.39,-112.04,7405.0,1987.0,212031.0,85042,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873,6140 W GAMBIT TR,2.0,3.0,2214.0,33.74,-112.19,261360.0,2003.0,393648.0,85083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874,3721 S 71ST DR,3.0,5.0,2785.0,33.41,-112.21,13342.0,2010.0,281999.0,85043,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875,3745 E ADOBE DR,5.0,5.0,3831.0,33.69,-112.0,13616.0,2006.0,862548.0,85050,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,4216 E CEDARWOOD LN,2.33,0.0,2337.0,33.29,-111.99,0.0,2001.0,357451.0,85048,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,1615 W LA SALLE ST,3.33,0.0,2328.0,33.4,-112.09,4961.0,2005.0,232824.0,85041,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1878,26415 N 53RD GLN,3.0,0.0,1871.0,33.72,-112.17,2533.0,2006.0,255416.0,85083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1879,16649 S 14TH PL,4.0,0.0,2039.0,33.3,-112.05,6434.0,1993.0,337186.0,85048,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880,7352 N 7TH PL,2.75,3.0,2500.0,33.55,-112.06,3332.0,1979.0,361177.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.55,-112.06,1.0,89.0,1.0,0.0,0.0,1.0
1881,1821 W COCOPAH ST,1.0,0.0,1266.0,33.43,-112.1,6003.0,1954.0,131351.0,85007,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882,3318 N 69TH AVE,2.0,0.0,1064.0,33.49,-112.21,5554.0,1987.0,170712.0,85033,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,4527 N 35TH ST,3.0,4.0,2200.0,33.5,-112.01,8411.0,1970.0,650156.0,85018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884,14211 N 33RD AVE,2.0,0.0,2398.0,33.61,-112.13,9351.0,1966.0,260112.0,85053,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,4026 N 59TH DR,2.0,0.0,2481.0,33.49,-112.19,9858.0,1962.0,199346.0,85033,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886,5540 W WILSHIRE DR,2.0,0.0,1260.0,33.48,-112.18,7004.0,1969.0,169166.0,85035,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887,8236 S 6TH LN,3.5,4.0,1740.0,33.37,-112.08,6708.0,2015.0,241970.0,85041,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
