name,type,gradeRange,enrollment,city,state,address,lat,lon,parentRating
Great Hearts Academies - North Phoenix Prep,charter,6-9,198,Phoenix,AZ,"13613 North Cave Creek Road, 
Phoenix, AZ  85022",33.607117,-112.03245
Holy Trinity Academy,private,K,15,Phoenix,AZ,"1973 East Maryland Avenue, 
Phoenix, AZ  85016",33.5309,-112.0388
West-Mec - Shadow Mountain High School,public,9-12,1,Phoenix,AZ,"2902 East Shea Blvd, 
Phoenix, AZ  85028",33.5837,-112.0195
Shadow Mountain High School,public,9-12,1390,Phoenix,AZ,"2902 East Shea Blvd, 
Phoenix, AZ  85028",33.5842,-112.0191,4
Desert Foothills Middle School,public,7-8,660,Phoenix,AZ,"3333 West Banff, 
Phoenix, AZ  85053",33.6192,-112.1302
Sunset School,public,PK-6,560,Glendale,AZ,"4626 West Mountain View Rd, 
Glendale, AZ  85302",33.5756,-112.1588,4
Cordova Primary School,public,K-2,377,Phoenix,AZ,"6615 North 39th Ave, 
Phoenix, AZ  85019",33.5324,-112.1406,4
Arroyo School,charter,K-8,599,Glendale,AZ,"4535 West Cholla, 
Glendale, AZ  85304",33.5887,-112.1567,4
Christ the King Academy,private,PK-3,26,Phoenix,AZ,"2929 West Greenway Road, 
Phoenix, AZ  85053",33.625248,-112.12059,5
Valley Lutheran High School,private,9-12,188,Phoenix,AZ,"5199 North 7th Avenue, 
Phoenix, AZ  85013",33.51277,-112.082146,5
Glenview College Preparatory High School,charter,9-12,300,Phoenix,AZ,"3802 West Maryland Avenue, 
Phoenix, AZ  85019",33.53133,-112.14094
Mountain Sky Middle School,public,7-8,755,Phoenix,AZ,"16225 N 7th Ave, 
Phoenix, AZ  85023",33.63226,-112.0815,4
R E Simpson School,public,4-8,831,Phoenix,AZ,"5330 North 23rd Ave, 
Phoenix, AZ  85015",33.5141,-112.1089,4
Horizon School,public,K-8,863,Glendale,AZ,"8520 North 47th Ave, 
Glendale, AZ  85302",33.5612,-112.1608,5
Catalina Ventura School,public,K-8,1078,Phoenix,AZ,"6331 West 39th Ave, 
Phoenix, AZ  85019",33.53,-112.1421
All Aboard Charter School,charter,K-5,110,Phoenix,AZ,"5827 North 35th Ave, 
Phoenix, AZ  85017",33.5234,-112.1336
Apollo High School,public,9-12,1886,Glendale,AZ,"8045 N. 47th Avenue, 
Glendale, AZ  85302",33.554085,-112.15898,5
Humanities And Sciences High School - Phoenix,charter,9-12,6,Phoenix,AZ,"5201 North 7th St, 
Phoenix, AZ  85014",33.5132,-112.0644,4
Imagine Camelback Middle School,charter,6-8,168,Phoenix,AZ,"5050 North 19th Ave, 
Phoenix, AZ  85015",33.5108,-112.1002
International Commerce High School - Phoenix,charter,9-12,430,Phoenix,AZ,"5201 North 7th St, 
Phoenix, AZ  85014",33.5131,-112.0645
Imagine Camelback Elementary School,charter,PK-8,745,Phoenix,AZ,"5050 North 19th Ave., 
Phoenix, AZ  85015",33.5105,-112.0998
Glenview Adventist Academy,private,1-8,121,Phoenix,AZ,"6801 North 43rd Avenue, 
Phoenix, AZ  85019",33.53679,-112.15051
Amerischools Academy - Camelback,charter,K-8,225,Phoenix,AZ,"1333 West Camelback Road, 
Phoenix, AZ  85013",33.508953,-112.090256
The Learning Institute,charter,7-12,130,Phoenix,AZ,"5310 North 12th St, 
Phoenix, AZ  85014",33.5137,-112.0562,2
Madison #1 Elementary School,public,5-8,923,Phoenix,AZ,"5525 North 16th St, 
Phoenix, AZ  85016",33.5183,-112.0458,3,4,4,3,4,4,5,4,4,3,4,5,3,4,3,4,3,5,4,3,4,4
Girls Leadership Academy of Arizona,charter,9-12,141,Phoenix,AZ,"715 W. Mariposa St., 
Phoenix, AZ  85013",33.50787,-112.083664
Osborn Middle School,public,7-8,565,Phoenix,AZ,"1102 West Highland Avenue, 
Phoenix, AZ  85013",33.507153,-112.0872,5
BASIS Phoenix,charter,5-12,750,Phoenix,AZ,"11850 N. 32nd St., 
Phoenix, AZ  85028",33.59382,-112.014175
Cordova Middle School,public,3-8,848,Phoenix,AZ,"5631 North 35th Ave, 
Phoenix, AZ  85017",33.5188,-112.1333
Midtown Primary School,charter,K-4,110,Phoenix,AZ,"4735 North 19th Ave, 
Phoenix, AZ  85015",33.507,-112.0998
Ironwood Elementary School,public,PK-6,529,Phoenix,AZ,"14850 North 39th Ave, 
Phoenix, AZ  85053",33.6193,-112.1434
Sweetwater School,charter,K-8,515,Glendale,AZ,"4602 West Sweetwater, 
Glendale, AZ  85304",33.6043,-112.1572,4
St. Louis the King School,private,PK-8,270,Glendale,AZ,"4331 West Maryland Avenue, 
Glendale, AZ  85301",33.53117,-112.15225
St Francis Xavier School,private,PK-8,643,Phoenix,AZ,"4715 North Central Avenue, 
Phoenix, AZ  85012",33.50598,-112.07144,4
Westwood Primary School,public,K-3,933,Phoenix,AZ,"4711 North 23rd Ave, 
Phoenix, AZ  85015",33.5065,-112.1075,4
Brophy College Preparatory,private,6-12,1322,Phoenix,AZ,"4701 North Central Avenue, 
Phoenix, AZ  85012",33.504974,-112.07241
Barcelona Middle School,public,4-8,700,Glendale,AZ,"6130 North 44th Ave, 
Glendale, AZ  85301",33.5323,-112.1548
Desert Voices Oral Learning,private,PK-3,26,Phoenix,AZ,"3426 East Shea Boulevard, 
Phoenix, AZ  85028",33.582596,-112.00596
Arizona Conservatory for Arts and Academics,charter,K-12,215,Phoenix,AZ,"2820 W. Kelton Lane, 
Phoenix, AZ  85053",33.6364,-112.119
